pair: close=2026-07-14  T=2026-07-15
quote_sources: IRS has_as_of=True (latest 2026-07-15), Credit has_as_of=False (latest 2026-07-14)
id                                    npv_prev             npv_T           theta             mtm          cash     resid_raw    resid_cash
00000/KRW/170427-270427/1.9    -129,096,525.43   -127,321,504.29      242,980.32    1,532,040.82          0.00        0.0000        0.0000
00000/KRW/220728-270728/3.1      33,577,305.00     31,207,946.17     -291,399.68   -2,077,959.14          0.00        0.0000        0.0000
00000/KRW/230508-280508/3.0    -122,766,462.32   -116,779,468.29      364,015.21    5,622,978.83          0.00        0.0000        0.0000
00000/KRW/230509-280509/3.0    -121,369,640.42   -115,366,372.93      364,568.98    5,638,698.51          0.00        0.0000        0.0000
00001/KRW/231024-261026/4.0      58,628,200.08     58,787,327.95       85,241.87       73,886.01          0.00        0.0000        0.0000
00002/KRW/240329-260331/3.3               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/241119-260519/3.0               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00001/KRW/241212-261214/2.6      21,621,281.10     20,925,638.31     -145,793.42     -549,849.37          0.00        0.0000        0.0000
00000/KRW/250331-260331/2.7               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/250411-270412/2.3     -68,992,519.58    -67,348,259.50      187,969.59    1,456,290.49          0.00        0.0000        0.0000
00001/KRW/250425-261026/2.3     -79,737,425.56    -79,282,276.23      234,446.35      220,702.98          0.00        0.0000        0.0000
00000/KRW/250507-270507/2.2    -198,068,137.48   -194,384,761.55      510,159.85    3,173,216.08          0.00        0.0000        0.0000
00002/KRW/250905-280905/2.4     904,083,373.87    882,327,081.39     -903,107.29  -20,853,185.19          0.00        0.0000        0.0000
00002/KRW/251017-271018/2.4     144,283,534.42    141,026,413.65     -337,122.29   -2,919,998.48          0.00        0.0000        0.0000
00001/KRW/251030-260430/2.5               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251113-261113/2.7    -103,191,956.05    -99,989,917.39    1,042,765.53    2,159,273.14          0.00        0.0000        0.0000
00000/KRW/251118-281120/2.9    -439,693,294.05   -424,286,807.55      644,036.37   14,762,450.13          0.00        0.0000        0.0000
00000/KRW/251119-271119/2.8    -109,228,420.96   -105,571,205.98      362,481.78    3,294,733.20          0.00        0.0000        0.0000
00002/KRW/251202-261202/2.8     -14,137,262.50    -13,061,117.53      261,224.79      814,920.18          0.00        0.0000        0.0000
00001/KRW/251209-271209/2.9    -310,565,863.80   -298,821,378.02    1,130,237.12   10,614,248.66          0.00        0.0000        0.0000
00002/KRW/251212-261214/2.8     -51,278,669.26    -47,794,238.86      733,829.39    2,750,601.02          0.00        0.0000        0.0000
00003/KRW/251212-261214/2.8     -51,278,669.26    -47,794,238.86      733,829.39    2,750,601.02          0.00        0.0000        0.0000
00000/KRW/251216-281218/3.1    -367,765,543.10   -352,036,666.22      662,023.42   15,066,853.46          0.00        0.0000        0.0000
00000/KRW/251217-281218/3.0     991,286,237.54    951,998,332.41   -1,647,430.79  -37,640,474.35          0.00        0.0000        0.0000
00002/KRW/260106-310106/3.1    -352,689,092.54   -341,847,586.26      316,310.39   10,525,195.89          0.00        0.0000        0.0000
00000/KRW/260106-280106/2.9     684,623,386.17    658,920,169.41   -2,368,213.68  -23,335,003.08          0.00        0.0000        0.0000
00000/KRW/260107-270107/2.7    -186,679,792.32   -176,037,698.03    1,787,607.96    8,854,486.34          0.00        0.0000        0.0000
00000/KRW/260109-280110/2.8   1,153,513,911.30  1,111,884,593.74   -3,808,976.02  -37,820,341.54          0.00        0.0000        0.0000
00001/KRW/260109-280110/2.8     357,207,121.86    344,197,003.13   -1,190,647.24  -11,819,471.49          0.00        0.0000        0.0000
00000/KRW/260114-290115/3.0     197,315,052.57    195,377,088.21     -267,861.85   -7,653,664.16 -5,983,561.645,983,561.6438        0.0000
00000/KRW/260115-270115/2.8     171,068,113.25    158,269,409.98   -2,950,598.65   -9,848,104.62          0.00        0.0000        0.0000
00000/KRW/260116-310116/3.3    -544,402,081.29   -524,223,165.70      594,148.52   19,584,767.07          0.00        0.0000        0.0000
00000/KRW/260116-270118/2.8     282,245,276.73    258,670,264.27   -3,333,763.55  -20,241,248.91          0.00        0.0000        0.0000
00001/KRW/260119-261019/2.7     -43,690,194.65    -42,700,522.08      703,466.68      286,205.89          0.00        0.0000        0.0000
00003/KRW/260121-310121/3.3     259,616,781.99    248,668,476.73     -325,275.92  -10,623,029.34          0.00        0.0000        0.0000
00000/KRW/260123-270125/2.8    -109,266,338.34   -101,927,054.41    1,043,282.93    6,296,001.00          0.00        0.0000        0.0000
00000/KRW/260127-290129/3.1     356,321,354.97    340,187,337.55     -675,158.91  -15,458,858.51          0.00        0.0000        0.0000
00000/KRW/260127-270127/2.8     -48,515,592.08    -44,806,600.54      528,666.09    3,180,325.45          0.00        0.0000        0.0000
00001/KRW/260129-310129/3.2     315,536,866.92    304,604,554.18     -319,700.76  -10,612,611.99          0.00        0.0000        0.0000
00002/KRW/260129-310129/3.2     631,073,733.84    609,209,108.36     -639,401.51  -21,225,223.97          0.00        0.0000        0.0000
00000/KRW/260203-280203/3.0    -179,622,064.71   -170,437,819.76      661,096.56    8,523,148.39          0.00        0.0000        0.0000
00000/KRW/260204-310204/3.4     232,808,476.57    222,691,324.75     -300,864.56   -9,816,287.25          0.00        0.0000        0.0000
00004/KRW/260212-280214/3.0    -186,745,249.43   -177,255,142.54      669,195.19    8,820,911.69          0.00        0.0000        0.0000
00000/KRW/260213-270215/2.9     -28,986,710.28    -26,269,823.86      393,604.26    2,323,282.16          0.00        0.0000        0.0000
00000/KRW/260223-280223/3.0    -100,471,237.66    -95,600,627.86      337,451.88    4,533,157.91          0.00        0.0000        0.0000
00000/KRW/260224-290226/3.2    -174,556,933.77   -166,359,931.56      343,041.93    7,853,960.28          0.00        0.0000        0.0000
00002/KRW/260225-280225/3.1    -475,246,802.33   -450,742,843.64    1,694,088.79   22,809,869.89          0.00        0.0000        0.0000
00000/KRW/260305-270305/2.9     146,174,439.76    131,435,148.70   -2,161,024.80  -12,578,266.26          0.00        0.0000        0.0000
00000/KRW/260306-280306/3.1     436,704,090.55    411,465,910.10   -1,718,346.31  -23,519,834.14          0.00        0.0000        0.0000
00000/KRW/260309-310310/3.4    -483,941,656.83   -463,413,692.16      607,942.69   19,920,021.99          0.00        0.0000        0.0000
00000/KRW/260312-270312/2.9     -96,128,220.75    -88,537,324.21    1,115,932.95    6,474,963.58          0.00        0.0000        0.0000
00001/KRW/260312-270312/2.9     -96,128,220.75    -88,537,324.21    1,115,932.95    6,474,963.58          0.00        0.0000        0.0000
00000/KRW/260313-360313/3.5     442,329,287.70    431,856,217.55     -314,602.28  -10,158,467.88          0.00        0.0000        0.0000
00000/KRW/260316-290316/3.4     355,447,397.07    330,526,684.70   -1,057,568.85  -23,863,143.53          0.00        0.0000        0.0000
00000/KRW/260318-270920/3.1     169,845,481.76    158,030,038.47   -1,312,475.93  -10,502,967.37          0.00        0.0000        0.0000
00001/KRW/230222-280222/3.5     -19,313,167.68    -14,432,763.55      345,402.30    4,535,001.84          0.00        0.0000        0.0000
00001/KRW/241017-291017/2.8     339,718,810.03    330,637,706.36     -306,247.12   -8,774,856.55          0.00        0.0000        0.0000
00000/KRW/241212-261214/2.6      43,242,562.20     41,851,276.61     -291,586.84   -1,099,698.75          0.00        0.0000        0.0000
00001/KRW/250109-260709/2.6               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00001/KRW/250508-280508/2.1     292,712,796.09    286,782,565.87     -346,423.15   -5,583,807.06          0.00        0.0000        0.0000
00000/KRW/250515-261116/2.3    -185,047,862.17   -182,808,363.26      683,624.99    1,555,873.93          0.00        0.0000        0.0000
00005/KRW/250528-260528/2.3               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
