pair: close=2026-07-14  T=2026-07-15
quote_sources: IRS has_as_of=True (latest 2026-07-15), Credit has_as_of=False (latest 2026-07-14)
id                                    npv_prev             npv_T           theta             mtm          cash     resid_raw    resid_cash
00000/KRW/170427-270427/1.9    -110,110,224.06   -108,088,627.58      489,555.67    1,532,040.82          0.00        0.0000        0.0000
00000/KRW/220728-270728/3.1      39,615,661.16     37,325,754.39     -211,947.63   -2,077,959.14          0.00        0.0000        0.0000
00000/KRW/230508-280508/3.0    -127,539,065.06   -121,623,303.91      292,782.33    5,622,978.83          0.00        0.0000        0.0000
00000/KRW/230509-280509/3.0    -126,103,887.00   -120,174,592.11      290,596.38    5,638,698.51          0.00        0.0000        0.0000
00001/KRW/231024-261026/4.0      32,022,720.62     31,840,752.61     -255,854.02       73,886.01          0.00        0.0000        0.0000
00002/KRW/240329-260331/3.3               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/241119-260519/3.0               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00001/KRW/241212-261214/2.6      19,118,541.37     18,336,597.21     -232,094.79     -549,849.37          0.00        0.0000        0.0000
00000/KRW/250331-260331/2.7               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/250411-270412/2.3     -68,992,519.58    -67,203,054.02      333,175.07    1,456,290.49          0.00        0.0000        0.0000
00001/KRW/250425-261026/2.3     -49,675,781.72    -48,830,221.43      624,857.31      220,702.98          0.00        0.0000        0.0000
00000/KRW/250507-270507/2.2    -176,922,932.00   -172,928,597.17      821,118.75    3,173,216.08          0.00        0.0000        0.0000
00002/KRW/250905-280905/2.4     890,842,277.97    868,718,177.28   -1,270,915.50  -20,853,185.19          0.00        0.0000        0.0000
00002/KRW/251017-271018/2.4     136,598,602.91    133,251,071.18     -427,533.25   -2,919,998.48          0.00        0.0000        0.0000
00001/KRW/251030-260430/2.5               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251113-261113/2.7     -84,808,394.41    -81,304,985.88    1,344,135.39    2,159,273.14          0.00        0.0000        0.0000
00000/KRW/251118-281120/2.9    -442,608,362.55   -427,253,930.83      591,981.58   14,762,450.13          0.00        0.0000        0.0000
00000/KRW/251119-271119/2.8    -109,153,078.49   -105,494,493.65      363,851.64    3,294,733.20          0.00        0.0000        0.0000
00002/KRW/251202-261202/2.8     -13,698,906.34    -12,611,802.47      272,183.69      814,920.18          0.00        0.0000        0.0000
00001/KRW/251209-271209/2.9    -310,845,315.86   -299,109,049.26    1,122,017.94   10,614,248.66          0.00        0.0000        0.0000
00002/KRW/251212-261214/2.8     -47,901,956.94    -44,301,088.18      850,267.74    2,750,601.02          0.00        0.0000        0.0000
00003/KRW/251212-261214/2.8     -47,901,956.94    -44,301,088.18      850,267.74    2,750,601.02          0.00        0.0000        0.0000
00000/KRW/251216-281218/3.1    -370,502,529.40   -354,875,022.38      560,653.56   15,066,853.46          0.00        0.0000        0.0000
00000/KRW/251217-281218/3.0     995,738,292.33    956,621,620.08   -1,476,197.91  -37,640,474.35          0.00        0.0000        0.0000
00002/KRW/260106-310106/3.1    -353,197,311.72   -342,428,408.18      243,707.65   10,525,195.89          0.00        0.0000        0.0000
00000/KRW/260106-280106/2.9     684,565,851.92    658,854,415.99   -2,376,432.85  -23,335,003.08          0.00        0.0000        0.0000
00000/KRW/260107-270107/2.7    -183,803,079.99   -172,681,533.64    2,267,060.02    8,854,486.34          0.00        0.0000        0.0000
00000/KRW/260109-280110/2.8   1,153,441,582.53  1,111,739,936.20   -3,881,304.79  -37,820,341.54          0.00        0.0000        0.0000
00001/KRW/260109-280110/2.8     357,190,683.51    344,164,126.42   -1,207,085.60  -11,819,471.49          0.00        0.0000        0.0000
00000/KRW/260114-290115/3.0     203,232,860.79    195,377,088.21   -6,185,670.07   -7,653,664.16 -5,983,561.645,983,561.6438        0.0000
00000/KRW/260115-270115/2.8     168,629,757.08    155,803,656.55   -2,977,995.91   -9,848,104.62          0.00        0.0000        0.0000
00000/KRW/260116-310116/3.3    -565,296,944.30   -545,363,850.63      348,326.60   19,584,767.07          0.00        0.0000        0.0000
00000/KRW/260116-270118/2.8     296,217,879.47    272,807,250.58   -3,169,379.99  -20,241,248.91          0.00        0.0000        0.0000
00001/KRW/260119-261019/2.7     -34,375,126.16    -33,275,864.55      813,055.72      286,205.89          0.00        0.0000        0.0000
00003/KRW/260121-310121/3.3     272,521,576.51    261,728,750.71     -169,796.46  -10,623,029.34          0.00        0.0000        0.0000
00000/KRW/260123-270125/2.8    -108,945,790.39   -101,602,396.88    1,047,392.52    6,296,001.00          0.00        0.0000        0.0000
00000/KRW/260127-290129/3.1     370,666,560.45    354,718,844.40     -488,857.54  -15,458,858.51          0.00        0.0000        0.0000
00000/KRW/260127-270127/2.8     -50,414,222.22    -46,729,888.21      504,008.56    3,180,325.45          0.00        0.0000        0.0000
00001/KRW/260129-310129/3.2     324,680,702.54    313,870,307.60     -197,782.95  -10,612,611.99          0.00        0.0000        0.0000
00002/KRW/260129-310129/3.2     649,361,405.07    627,740,615.20     -395,565.89  -21,225,223.97          0.00        0.0000        0.0000
00000/KRW/260203-280203/3.0    -190,709,735.95   -181,681,655.38      504,932.17    8,523,148.39          0.00        0.0000        0.0000
00000/KRW/260204-310204/3.4     243,287,024.51    233,321,735.71     -149,001.55   -9,816,287.25          0.00        0.0000        0.0000
00004/KRW/260212-280214/3.0    -196,427,441.21   -187,093,498.71      513,030.81    8,820,911.69          0.00        0.0000        0.0000
00000/KRW/260213-270215/2.9     -32,055,203.43    -29,393,111.53      338,809.74    2,323,282.16          0.00        0.0000        0.0000
00000/KRW/260223-280223/3.0    -103,995,210.26    -99,196,518.27      265,534.07    4,533,157.91          0.00        0.0000        0.0000
00000/KRW/260224-290226/3.2    -179,792,550.21   -171,702,397.31      236,192.61    7,853,960.28          0.00        0.0000        0.0000
00002/KRW/260225-280225/3.1    -495,215,980.41   -471,119,555.97    1,286,554.55   22,809,869.89          0.00        0.0000        0.0000
00000/KRW/260305-270305/2.9     157,023,754.82    142,585,833.63   -1,859,654.94  -12,578,266.26          0.00        0.0000        0.0000
00000/KRW/260306-280306/3.1     451,327,378.22    426,507,006.00   -1,300,538.09  -23,519,834.14          0.00        0.0000        0.0000
00000/KRW/260309-310310/3.4    -493,565,458.20   -473,312,459.28      332,976.93   19,920,021.99          0.00        0.0000        0.0000
00000/KRW/260312-270312/2.9     -97,518,631.71    -89,975,680.38    1,067,987.75    6,474,963.58          0.00        0.0000        0.0000
00001/KRW/260312-270312/2.9     -97,518,631.71    -89,975,680.38    1,067,987.75    6,474,963.58          0.00        0.0000        0.0000
00000/KRW/260313-360313/3.5     447,507,369.89    437,219,231.25     -129,670.77  -10,158,467.88          0.00        0.0000        0.0000
00000/KRW/260316-290316/3.4     367,644,657.35    343,159,561.41     -621,952.41  -23,863,143.53          0.00        0.0000        0.0000
00000/KRW/260318-270920/3.1     177,105,755.73    165,580,723.40   -1,022,064.97  -10,502,967.37          0.00        0.0000        0.0000
00001/KRW/230222-280222/3.5     -29,247,414.26    -24,569,749.85      142,662.57    4,535,001.84          0.00        0.0000        0.0000
00001/KRW/241017-291017/2.8     340,883,193.59    331,815,788.55     -292,548.49   -8,774,856.55          0.00        0.0000        0.0000
00000/KRW/241212-261214/2.6      38,237,082.75     36,673,194.42     -464,189.58   -1,099,698.75          0.00        0.0000        0.0000
00001/KRW/250109-260709/2.6               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00001/KRW/250508-280508/2.1     281,841,563.21    275,741,469.98     -516,286.16   -5,583,807.06          0.00        0.0000        0.0000
00000/KRW/250515-261116/2.3    -137,074,163.54   -133,993,020.79    1,525,268.82    1,555,873.93          0.00        0.0000        0.0000
00005/KRW/250528-260528/2.3               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00001/KRW/250902-270902/2.3    -131,278,582.68   -128,411,093.55      442,642.96    2,424,846.16          0.00        0.0000        0.0000
00001/KRW/250903-270903/2.3    -131,999,671.97   -129,120,662.23      443,943.00    2,435,066.74          0.00        0.0000        0.0000
00000/KRW/250904-350904/2.7  -1,097,963,723.07 -1,087,603,335.36      282,265.74   10,078,121.97          0.00        0.0000        0.0000
00000/KRW/250905-270906/2.3     390,779,022.68    382,049,404.35   -1,330,507.58   -7,399,110.74          0.00        0.0000        0.0000
00001/KRW/250917-280918/2.3    -625,597,974.80   -610,660,505.04      900,649.25   14,036,820.52          0.00        0.0000        0.0000
00001/KRW/251030-270430/2.5     177,272,347.08    171,665,023.22     -950,543.37   -4,656,780.50          0.00        0.0000        0.0000
00000/KRW/251106-281106/2.6    -527,113,762.15   -511,831,094.48      692,467.55   14,590,200.11          0.00        0.0000        0.0000
00000/KRW/251110-281110/2.7    -247,200,363.26   -239,552,128.02      326,874.08    7,321,361.16          0.00        0.0000        0.0000
00001/KRW/251110-281110/2.7    -247,200,363.26   -239,552,128.02      326,874.08    7,321,361.16          0.00        0.0000        0.0000
00002/KRW/251128-261130/2.7     -45,032,776.36    -42,379,322.65      727,225.72    1,926,227.98          0.00        0.0000        0.0000
00000/KRW/251208-260608/2.7               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251211-260911/2.8      -8,553,693.19     -8,408,712.93      144,980.26            0.00          0.00        0.0000        0.0000
00001/KRW/251212-261214/2.8     -42,198,522.07    -38,634,551.61      813,184.22    2,750,786.24          0.00        0.0000        0.0000
00001/KRW/251219-260619/2.7               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251219-271220/2.9    -327,582,756.96   -315,395,850.27    1,165,337.27   11,021,569.42          0.00        0.0000        0.0000
00000/KRW/260108-270108/2.7     -90,640,544.50    -85,017,448.44    1,119,707.31    4,503,388.75          0.00        0.0000        0.0000
00000/KRW/260109-310109/3.1  -1,513,189,211.91 -1,470,097,772.74    1,019,132.02   42,072,307.14          0.00        0.0000        0.0000
00000/KRW/260109-270709/2.7     324,335,939.37    312,993,232.31   -1,738,021.47   -9,604,685.59          0.00        0.0000        0.0000
00005/KRW/260113-270113/2.7      84,805,813.21     79,203,976.32     -702,802.52   -4,899,034.37          0.00        0.0000        0.0000
00006/KRW/260113-270113/2.7      76,325,231.89     71,283,578.69     -632,522.27   -4,409,130.93          0.00        0.0000        0.0000
00003/KRW/260114-270114/2.7      67,268,268.22     62,913,066.72    2,078,199.40   -3,940,250.22  2,493,150.68-2,493,150.6849        0.0000
00000/KRW/260120-290122/3.2     170,429,688.90    162,493,205.39     -232,579.69   -7,703,903.82          0.00        0.0000        0.0000
00000/KRW/260129-360131/3.4    -579,543,068.23   -569,251,147.54      134,002.06   10,157,918.63          0.00        0.0000        0.0000
00000/KRW/260204-290205/3.2    -158,383,949.42   -150,396,144.05      216,558.81    7,771,246.55          0.00        0.0000        0.0000
00000/KRW/260205-270205/2.8      46,736,021.82     42,918,575.05     -492,554.02   -3,324,892.74          0.00        0.0000        0.0000
00002/KRW/260206-270210/2.8     -82,218,785.54    -75,696,314.75      847,402.05    5,675,068.74          0.00        0.0000        0.0000
00003/KRW/260206-270210/2.9     -46,763,847.09    -42,862,245.50      496,411.13    3,405,190.46          0.00        0.0000        0.0000
00003/KRW/260212-280214/3.0    -294,641,161.82   -280,640,248.06      769,546.21   13,231,367.54          0.00        0.0000        0.0000
00000/KRW/260219-280221/3.0    -102,383,161.43    -97,614,300.91      262,893.48    4,505,967.04          0.00        0.0000        0.0000
00000/KRW/260225-280225/3.1     -99,043,196.08    -94,223,911.19      257,310.91    4,561,973.98          0.00        0.0000        0.0000
00001/KRW/260225-280225/3.1    -396,172,784.33   -376,895,644.78    1,029,243.64   18,247,895.92          0.00        0.0000        0.0000
00001/KRW/260305-280306/3.1     272,791,065.66    257,903,389.66     -775,962.84  -14,111,713.17          0.00        0.0000        0.0000
00001/KRW/260306-280306/3.1     451,327,378.22    426,507,006.00   -1,300,538.09  -23,519,834.14          0.00        0.0000        0.0000
00000/KRW/260313-290313/3.4     388,523,649.74    364,064,181.35     -642,790.78  -23,816,677.61          0.00        0.0000        0.0000
00000/KRW/260318-310318/3.5     454,913,508.26    432,940,918.57     -338,315.70  -21,634,273.99          0.00        0.0000        0.0000
00000/KRW/260318-270318/3.0      14,808,275.34     13,285,114.41     -195,826.71   -1,327,334.22          0.00        0.0000        0.0000
00000/KRW/260323-270323/3.2      21,948,559.49      6,922,378.88   -1,476,565.59  -13,549,615.03          0.00        0.0000        0.0000
00000/KRW/260323-280323/3.5    -199,577,964.64   -173,834,773.84      950,217.69   24,792,973.10          0.00        0.0000        0.0000
00000/KRW/230203-280203/3.0     163,340,879.74    156,539,330.19     -413,409.42   -6,388,140.14          0.00        0.0000        0.0000
00000/KRW/230413-280413/3.0    -235,563,241.24   -224,584,987.32      481,429.60   10,496,824.32          0.00        0.0000        0.0000
00001/KRW/230424-260424/3.2               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/230502-260504/3.2               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/230807-280807/3.6      40,870,196.91     33,911,298.11      -94,642.35   -6,864,256.45          0.00        0.0000        0.0000
00001/KRW/241226-261228/2.7     -66,502,852.30    -62,688,816.50      863,733.39    2,950,302.41          0.00        0.0000        0.0000
00000/KRW/250425-261026/2.3     -66,234,375.63    -65,106,961.91      833,143.08      294,270.64          0.00        0.0000        0.0000
00000/KRW/250708-280710/2.4     366,645,196.57    357,074,045.07     -680,717.22   -8,890,434.27          0.00        0.0000        0.0000
00001/KRW/250718-270719/2.3     109,206,791.18    106,824,524.65     -397,535.40   -1,984,731.13          0.00        0.0000        0.0000
00000/KRW/250728-270728/2.3     340,767,515.04    333,350,892.14   -1,208,240.97   -6,208,381.93          0.00        0.0000        0.0000
00000/KRW/250821-270823/2.3     378,488,980.23    370,245,157.67   -1,273,522.46   -6,970,300.09          0.00        0.0000        0.0000
00000/KRW/250826-260526/2.4               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/250917-280918/2.3    -623,508,890.09   -608,573,237.41      898,140.97   14,037,511.70          0.00        0.0000        0.0000
00002/KRW/250923-270923/2.3    -274,881,334.26   -268,661,651.52      929,769.76    5,289,912.98          0.00        0.0000        0.0000
00000/KRW/250926-260928/2.4      43,928,774.49     43,350,751.90     -578,022.59            0.00          0.00        0.0000        0.0000
00001/KRW/251015-270415/2.4    -324,046,745.63   -314,392,777.88    2,346,969.60    7,306,998.16          0.00        0.0000        0.0000
00001/KRW/251030-260430/2.5               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251110-281110/2.8    -474,407,659.79   -459,126,412.05      631,366.67   14,649,881.08          0.00        0.0000        0.0000
00000/KRW/251125-271125/2.7    -338,037,287.43   -326,828,459.83    1,110,949.51   10,097,878.09          0.00        0.0000        0.0000
00000/KRW/251126-270526/2.7    -109,077,500.56   -105,102,946.21      594,774.19    3,379,780.16          0.00        0.0000        0.0000
00000/KRW/251201-281201/2.9     619,370,639.43    596,204,887.53     -841,336.52  -22,324,415.38          0.00        0.0000        0.0000
00003/KRW/251202-261202/2.8      -6,849,453.17     -6,305,901.23      136,091.85      407,460.09          0.00        0.0000        0.0000
00001/KRW/251202-270602/2.8    -176,686,117.56   -168,675,142.58    1,099,573.35    6,911,401.63          0.00        0.0000        0.0000
00000/KRW/251202-271202/2.9     284,777,163.30    273,379,494.12   -1,036,593.74  -10,361,075.44          0.00        0.0000        0.0000
00001/KRW/251208-271208/2.9    -311,431,954.32   -299,753,407.67    1,101,441.25   10,577,105.40          0.00        0.0000        0.0000
00000/KRW/251218-271220/2.9    -318,169,290.21   -305,998,054.29    1,147,851.08   11,023,384.84          0.00        0.0000        0.0000
00001/KRW/251224-271224/2.9    -210,278,695.43   -202,067,748.43      761,277.84    7,449,669.15          0.00        0.0000        0.0000
00003/KRW/260107-270107/2.7     -96,696,467.12    -91,108,953.19    1,160,490.01    4,427,023.91          0.00        0.0000        0.0000
00000/KRW/260109-280110/2.8     559,598,737.50    539,190,464.73   -1,891,100.77  -18,517,171.99          0.00        0.0000        0.0000
00001/KRW/260109-280110/2.8     355,017,476.15    341,994,390.66   -1,203,204.17  -11,819,881.32          0.00        0.0000        0.0000
00000/KRW/260112-270712/2.8     642,128,328.37    619,303,643.67   -3,456,700.79  -19,367,983.90          0.00        0.0000        0.0000
00000/KRW/260116-270118/2.8     158,289,800.02    146,531,498.79   -1,638,191.93  -10,120,109.30          0.00        0.0000        0.0000
00000/KRW/260119-260720/2.7       2,325,594.34      1,937,994.73     -387,599.61            0.00          0.00        0.0000        0.0000
00000/KRW/260120-290122/3.2     514,892,849.75    491,081,124.46     -701,432.90  -23,110,292.38          0.00        0.0000        0.0000
00001/KRW/260121-310121/3.3     274,585,915.72    263,793,307.59     -170,928.56  -10,621,679.57          0.00        0.0000        0.0000
00000/KRW/260123-270125/2.7     -98,044,956.80    -91,889,067.08      909,604.34    5,246,285.38          0.00        0.0000        0.0000
00000/KRW/260129-280131/3.0     107,848,678.96    103,353,259.78     -276,526.76   -4,218,892.42          0.00        0.0000        0.0000
00000/KRW/260202-270202/2.8     -50,211,343.18    -46,427,634.71      507,063.81    3,276,644.66          0.00        0.0000        0.0000
00000/KRW/260203-290205/3.2    -339,978,519.14   -323,988,810.83      456,442.81   15,533,265.51          0.00        0.0000        0.0000
00002/KRW/260204-280204/3.1    -277,743,384.52   -264,173,483.63      743,090.58   12,826,810.31          0.00        0.0000        0.0000
00000/KRW/260204-360204/3.5    -237,722,517.21   -232,546,618.46       53,590.00    5,122,308.75          0.00        0.0000        0.0000
00000/KRW/260205-270205/2.9      44,646,616.90     40,839,078.86     -482,527.87   -3,325,010.17          0.00        0.0000        0.0000
00001/KRW/260206-310206/3.4     256,352,443.71    245,514,037.42     -157,476.32  -10,680,929.98          0.00        0.0000        0.0000
